runid,t,ghost_idx,entropy,pat,expected_L1,layout,ghost_type,sensor_var
-1,0,0,3.109714179645329,0.05344404607980658,5.996568680030725,large_filter,scared,1.0
-1,1,0,2.766099385091497,0.13393110877606001,5.136367729951791,large_filter,scared,1.0
-1,2,0,2.430948003238572,0.16434949695794693,4.250990537979605,large_filter,scared,1.0
-1,3,0,2.1129949066758282,0.16796747791111383,3.2789540871470773,large_filter,scared,1.0
-1,4,0,1.7930348861491359,0.2829616610512862,2.1023383670339397,large_filter,scared,1.0
-1,5,0,1.467084601138939,0.37191001713753963,1.1827523535275342,large_filter,scared,1.0
-1,6,0,0.4237806992713305,0.8894652719820951,0.11053472801790498,large_filter,scared,1.0
-1,7,0,1.0218145761765383,0.42339967372291026,1.0004220803440984,large_filter,scared,1.0
-1,8,0,0.4627639219596523,0.884078681624276,0.12131880700301012,large_filter,scared,1.0
-1,9,0,0.8456280113081527,0.4823284555306256,1.0033087203114663,large_filter,scared,1.0
-1,10,0,0.059501355774584944,0.9906448584425349,0.009355141557465094,large_filter,scared,1.0
-1,11,0,0.7037663929062437,0.499333483640002,1.0006660081217538,large_filter,scared,1.0
-1,12,0,0.003287843379396545,0.9996603683249239,0.00033963167507608495,large_filter,scared,1.0
-1,13,0,0.6951601360756852,0.4998867766235596,1.0000039817745692,large_filter,scared,1.0
-1,14,0,0.04495476766056202,0.9937773199935841,0.012289902182688068,large_filter,scared,1.0
-1,15,0,0.6943712664550259,0.49995229855602324,1.0000025150141032,large_filter,scared,1.0
-1,16,0,0.19124411309618558,0.9644962136937869,0.07085221518122306,large_filter,scared,1.0
-1,17,0,0.6952561852778206,0.4998206341856108,1.0003099296979197,large_filter,scared,1.0
-1,18,0,0.00032806775809705884,0.9999731496168058,2.6850383194247328e-05,large_filter,scared,1.0
-1,19,0,0.6935576095368811,0.49998045545669045,1.0000001186152274,large_filter,scared,1.0
-1,20,0,0.00013363976091361848,0.9999898705625534,1.0129437446607354e-05,large_filter,scared,1.0
-1,21,0,0.6933163936783021,0.49999262666992933,1.0000000447413921,large_filter,scared,1.0
-1,22,0,0.04346826013573034,0.9939217676011584,0.012146336458520021,large_filter,scared,1.0
-1,23,0,0.6934526232713124,0.5000007491707018,1.0000008034315444,large_filter,scared,1.0
-1,24,0,0.04341868894003022,0.9939242109594348,0.012146942432750957,large_filter,scared,1.0
-1,25,0,0.6934097592038364,0.49997656018872805,1.0000529444023467,large_filter,scared,1.0
-1,26,0,0.6593577996938014,0.04508527173528852,1.9999611127667967,large_filter,scared,1.0
-1,27,0,0.716006597290955,0.4980060445883587,1.0056065029932972,large_filter,scared,1.0
-1,28,0,0.2049537240719596,0.9616057523815709,0.07759477694981418,large_filter,scared,1.0
-1,29,0,0.7210725014214374,0.500302696754586,1.0089066281684707,large_filter,scared,1.0
-1,30,0,0.5958933343002112,0.744513089176278,0.5125305197130039,large_filter,scared,1.0
-1,31,0,0.8611733387720318,0.4721982959465226,1.1590873445481413,large_filter,scared,1.0
-1,32,0,0.742639883581627,0.7062157938487321,0.691396298957428,large_filter,scared,1.0
-1,33,0,0.6931306690886452,0.5030611663544057,0.993877597829076,large_filter,scared,1.0
