runid,t,ghost_idx,entropy,pat,expected_L1,layout,ghost_type,sensor_var
-1,0,0,3.542787292091191,0.02495654510794619,9.842234870469255,large_filter,afraid,1.0
-1,1,0,3.299570422302035,0.05046928971284742,9.047993281188253,large_filter,afraid,1.0
-1,2,0,2.892376386478067,0.11416384885362449,7.356053947187688,large_filter,afraid,1.0
-1,3,0,3.232204835457933,0.04612877025883525,6.931343534526015,large_filter,afraid,1.0
-1,4,0,3.112075406939309,0.08629528848861227,7.522596118513136,large_filter,afraid,1.0
-1,5,0,3.055669608418263,0.017311465642996703,6.928733744466817,large_filter,afraid,1.0
-1,6,0,3.099439917325293,0.06533344357077606,7.925565830057337,large_filter,afraid,1.0
-1,7,0,1.7745049772576476,0.24326664288183522,6.411907094676601,large_filter,afraid,1.0
-1,8,0,2.08918743916044,0.2428507895473553,5.5345745061620875,large_filter,afraid,1.0
-1,9,0,2.277316034363257,0.14346992769063893,6.442784261810461,large_filter,afraid,1.0
-1,10,0,1.9307221704748276,0.2422774516082603,5.448316257899944,large_filter,afraid,1.0
-1,11,0,1.8704912695012792,0.029201372344474518,6.450818701127256,large_filter,afraid,1.0
-1,12,0,2.2301600405287556,0.034372436273542514,6.020402934012968,large_filter,afraid,1.0
-1,13,0,1.7267995272095864,0.07563022778945352,5.385998231293993,large_filter,afraid,1.0
-1,14,0,1.6254012989587399,0.09222081578323846,5.423392175828191,large_filter,afraid,1.0
-1,15,0,1.127845632740676,0.03682207134070722,6.17115215979442,large_filter,afraid,1.0
-1,16,0,1.9927626094997626,0.03435758353423171,5.222755318924633,large_filter,afraid,1.0
-1,17,0,1.5117170711024446,0.02699141242198118,6.27078685995221,large_filter,afraid,1.0
-1,18,0,1.313162167159569,0.0362767947733057,6.395652986054127,large_filter,afraid,1.0
-1,19,0,1.778261661049496,0.03175410403466408,6.321547403970171,large_filter,afraid,1.0
-1,20,0,1.6157692102176748,0.055779035901339445,6.455689675402261,large_filter,afraid,1.0
-1,21,0,2.1417203757367433,0.03163434602998714,7.014634754861251,large_filter,afraid,1.0
-1,22,0,2.130737669455132,0.03043335557402744,7.929272313755513,large_filter,afraid,1.0
-1,23,0,1.9538255354211533,0.03541628513542298,7.730785899020548,large_filter,afraid,1.0
-1,24,0,2.085451624255633,0.007549473439173904,7.886390915129441,large_filter,afraid,1.0
-1,25,0,1.8247195229961968,0.3270015041972291,3.7861030228219983,large_filter,afraid,1.0
-1,26,0,1.2958176865337996,0.6130596680213204,1.7002576889735634,large_filter,afraid,1.0
-1,27,0,1.0344409022782253,0.4666144697346257,1.091766979985587,large_filter,afraid,1.0
-1,28,0,1.2685455824761904,0.46522285025957777,1.149936724804608,large_filter,afraid,1.0
-1,29,0,1.4675955652241157,0.47205522607013184,1.3931075281550696,large_filter,afraid,1.0
-1,30,0,1.612374790276029,0.4908955853511995,1.6737348630779665,large_filter,afraid,1.0
-1,31,0,1.7530093352616238,0.30478193306477547,1.9684490883979766,large_filter,afraid,1.0
-1,32,0,1.6780120806433354,0.36149640193216964,1.6847530961802062,large_filter,afraid,1.0
-1,33,0,1.7971921439291714,0.0570918727689521,2.436075081735244,large_filter,afraid,1.0
